community_name,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade:,PctNotHSGrad:,PctBSorMore:,PctUnemployed:,PctEmploy:,PctEmplManu:,PctEmplProfServ:,PctOccupMgmtProf:,MalePctDivorce:,MalePctNevMarr:,FemalePctDiv:,TotalPctDiv:,PersPerFam:,PctFam2Par:,PctKids2Par:,PctYoungKids2Par:,PctTeen2Par:,PctWorkMomYoungKids:,PctWorkMom:,NumIlleg:,PctIlleg:,NumImmig:,PctRecentImmig:,PctSpeakEnglOnly:,PctNotSpeakEnglWell:,PctLargHouseFam:,PctLargHouseOccup:,PersPerOccupHous:,PersPerOwnOccHous:,PersPerRentOccHous:,PctPersOwnOccup:,PctPersDenseHous:,PctHousLess3BR:,MedNumBR:,HousVacant:,PctHousOccup:,PctHousOwnOcc:,PctVacantBoarded:,PctVacMore6Mos:,MedYrHousBuilt:,PctHousNoPhone:,PctWOFullPlumb:,OwnOccLowQuart:,OwnOccMedVal:,OwnOccHiQuart:,RentLowQ:,RentMedian:,RentHighQ:,MedRent:,MedRentPctHousInc:,MedOwnCostPctInc:,MedOwnCostPctIncNoMtg:,NumInShelters:,NumStreet:,PctForeignBorn:,PctBornSameState:,PctSameHouse85:,LandArea:,PopDens:,PctUsePubTrans:,ViolentCrimesPerPop:
Herculescity,0.01,0.71,0.25,0.08,1,0.19,0.4,0.42,0.21,0.11,0.03,1,0.73,0.96,0.15,0.59,0.06,0.21,0.21,0.65,0.47,0.55,0.51,0.27,0.38,0.48,0.52,0,0.04,0.13,0.14,0.56,0.24,0.83,0.23,0.36,0.55,0.29,0.33,0.37,0.34,0.77,0.86,0.83,0.89,0.83,0.86,0.93,0,0.03,0.03,0.44,0.3,0.29,0.52,0.54,0.78,0.73,0.85,0.86,0.36,0.37,0.5,0.02,0.77,0.88,0.04,0.17,0.96,0.02,0.29,0.55,0.59,0.58,1,0.92,1,0.98,0.52,0.86,0.32,0,0,0.93,0.46,0.3,0.01,0.25,0.35,0.13
Livermorecity,0.08,0.49,0.03,0.84,0.28,0.18,0.39,0.49,0.28,0.2,0.09,1,0.62,0.78,0.23,0.58,0.24,0.21,0.45,0.58,0.49,0.49,0.35,0.29,0.38,0.33,0.42,0.03,0.12,0.1,0.18,0.44,0.22,0.75,0.32,0.54,0.5,0.51,0.37,0.56,0.55,0.5,0.71,0.72,0.72,0.64,0.54,0.57,0.01,0.12,0.02,0.19,0.85,0.09,0.22,0.22,0.54,0.54,0.5,0.62,0.16,0.33,0.5,0.04,0.87,0.61,0.09,0.13,0.65,0.04,0.06,0.59,0.57,0.55,0.69,0.68,0.8,0.7,0.58,0.75,0.24,0.02,0,0.19,0.56,0.45,0.05,0.24,0.09,0.13
Madisoncity,0.29,0.34,0.08,0.86,0.24,0.04,0.63,0.78,0.71,0.27,0.3,1,0.29,0.71,0.36,0.71,0.29,0.24,0.34,0.4,0.34,0.35,0.2,0.16,0.17,0.24,0.33,0.26,0.42,0.13,0.14,0.69,0.17,0.64,0.19,0.8,0.59,0.37,0.83,0.4,0.4,0.35,0.61,0.65,0.68,0.56,0.73,0.77,0.07,0.23,0.07,0.33,0.87,0.07,0.12,0.11,0.29,0.42,0.23,0.39,0.14,0.6,0,0.14,0.89,0.34,0.07,0.25,0.48,0.1,0.25,0.16,0.15,0.15,0.36,0.37,0.42,0.35,0.6,0.42,0.43,0.12,0.01,0.17,0.64,0.31,0.17,0.28,0.43,0.13
Highlandtown,0.02,0.47,0,0.97,0.05,0.07,0.4,0.44,0.27,0.44,0.04,1,0.46,0.63,0.21,0.69,0.53,0.12,0.67,0.44,0.37,0.36,0.28,0,0.39,0.34,0.36,0.01,0.08,0.17,0.25,0.29,0.18,0.54,0.54,0.47,0.43,0.26,0.32,0.29,0.29,0.5,0.83,0.82,0.84,0.71,0.47,0.59,0,0.03,0.01,0.01,0.85,0.05,0.2,0.21,0.52,0.59,0.21,0.84,0.07,0.33,0.5,0.01,0.96,0.77,0.05,0.36,0.48,0.03,0.05,0.16,0.14,0.13,0.37,0.35,0.39,0.39,0.23,0.04,0.29,0,0,0.13,0.68,0.86,0.02,0.29,0.22,0.13
Dubuquecity,0.08,0.45,0.01,0.98,0.04,0.01,0.47,0.48,0.36,0.5,0.09,1,0.25,0.47,0.38,0.62,0.57,0.3,0.59,0.28,0.25,0.24,0.12,0.12,0.11,0.17,0.19,0.05,0.28,0.32,0.36,0.3,0.29,0.5,0.49,0.59,0.37,0.3,0.46,0.27,0.29,0.48,0.72,0.77,0.73,0.74,0.74,0.73,0.02,0.13,0.01,0.07,0.96,0.04,0.22,0.21,0.41,0.52,0.22,0.67,0.06,0.46,0.5,0.05,0.85,0.6,0.3,0.53,0.27,0.14,0.1,0.08,0.08,0.07,0.15,0.16,0.18,0.15,0.37,0.13,0.28,0.05,0.19,0.04,0.81,0.63,0.07,0.21,0.06,0.13
CapeCoralcity,0.1,0.37,0.02,0.97,0.04,0.07,0.26,0.3,0.17,0.79,0.12,0.98,0.32,0.32,0.18,0.61,0.79,0.14,0.95,0.3,0.34,0.32,0.28,0.14,0.2,0.28,0.32,0.04,0.14,0.18,0.31,0.23,0.24,0.35,0.12,0.35,0.33,0.39,0.13,0.38,0.4,0.27,0.72,0.73,0.8,0.7,0.61,0.67,0.01,0.05,0.03,0.07,0.86,0.06,0.09,0.11,0.4,0.36,0.49,0.69,0.07,0.39,0.5,0.25,0.42,0.72,0.01,0.25,0.88,0.08,0.06,0.19,0.19,0.23,0.42,0.38,0.43,0.42,0.51,0.6,0.25,0,0,0.19,0.05,0.25,0.31,0.06,0.02,0.13
Altoonacity,0.07,0.36,0.03,0.97,0.01,0,0.41,0.42,0.28,0.63,0.08,1,0.15,0.28,0.19,0.42,0.74,0.56,0.47,0.19,0.18,0.17,0.21,0.08,0.25,0.23,0.19,0.08,0.47,0.32,0.46,0.13,0.53,0.29,0.35,0.45,0.25,0.45,0.4,0.46,0.48,0.44,0.53,0.56,0.52,0.61,0.47,0.42,0.03,0.26,0,0.01,0.95,0.02,0.2,0.18,0.38,0.42,0.34,0.62,0.05,0.39,0.5,0.11,0.64,0.59,0.14,0.69,0,0.23,0.4,0.02,0.02,0.03,0.09,0.12,0.12,0.11,0.62,0.15,0.5,0.03,0,0.03,0.98,0.78,0.03,0.44,0.1,0.13
Piscatawaytownship,0.06,0.81,0.34,0.48,0.85,0.11,0.79,0.79,0.74,0.19,0.07,1,0.64,0.86,0.13,0.63,0.26,0.15,0.33,0.62,0.41,0.43,0.41,0.46,0.32,0.34,0.47,0.01,0.06,0.2,0.25,0.51,0.26,0.64,0.46,0.44,0.45,0.22,0.76,0.26,0.25,0.62,0.82,0.77,0.93,0.78,0.64,0.67,0.02,0.22,0.06,0.5,0.6,0.2,0.37,0.37,0.62,0.74,0.35,0.69,0.19,0.42,0.5,0.03,0.88,0.61,0.08,0.32,0.56,0.05,0.05,0.45,0.43,0.39,0.66,0.59,0.63,0.56,0.38,0.54,0.42,0,0,0.54,0.52,0.56,0.05,0.21,0.33,0.13
VentnorCitycity,0,0.26,0.03,0.93,0.09,0.1,0.22,0.38,0.23,0.74,0.02,1,0.35,0.44,0.18,0.58,0.72,0.28,0.53,0.43,0.48,0.46,0.84,0.15,0.41,0.32,0.35,0.01,0.16,0.19,0.34,0.23,0.16,0.52,0.04,0.22,0.35,0.44,0.51,0.48,0.48,0.31,0.54,0.56,0.61,0.46,0.08,0.37,0,0.17,0.01,0.06,0.77,0.05,0.16,0.14,0.29,0.32,0.27,0.53,0.1,0.46,0.5,0.13,0,0.52,0.04,0.81,0.27,0.08,0,0.32,0.33,0.36,0.53,0.56,0.61,0.57,0.64,0.55,0.86,0,0,0.24,0.43,0.71,0,0.43,0.71,0.13
TerreHautecity,0.08,0.45,0.18,0.83,0.07,0.02,0.63,0.63,0.59,0.54,0.09,1,0.12,0.34,0.18,0.39,0.67,0.46,0.59,0.16,0.18,0.17,0.16,0.09,0.56,1,0.76,0.09,0.54,0.3,0.48,0.24,0.55,0.24,0.36,0.57,0.35,0.69,0.62,0.61,0.67,0.39,0.45,0.48,0.44,0.47,0.53,0.53,0.03,0.23,0.01,0.13,0.93,0.05,0.19,0.15,0.3,0.32,0.3,0.55,0.1,0.71,0,0.14,0.55,0.54,0.34,0.62,0,0.62,0.36,0.02,0.02,0.02,0.1,0.13,0.12,0.11,0.55,0.16,0.39,0.04,0,0.07,0.77,0.49,0.08,0.17,0.07,0.13
SanJuancity,0,1,0,0.67,0,1,0.71,0.63,0.44,0.33,0.02,1,0.04,0.48,0.83,0.08,0.49,0.99,0.11,0.02,0.03,0.03,0.23,0,0,0.13,0.2,0.04,1,1,1,0.1,0.93,0.17,0.21,0.53,0.23,0.12,0.47,0.37,0.28,1,0.62,0.56,0.66,0.53,0.33,0.17,0.01,0.17,0.02,0.49,0,1,1,1,1,1,1,0.66,1,0.58,0,0.02,0.5,0.67,0.71,0.28,0.71,1,1,0.03,0.02,0.03,0.01,0.07,0.07,0.03,0.55,0.63,0.42,0,0,0.78,0.65,0.7,0.01,0.25,0.08,0.13
Haddontownship,0.01,0.3,0.02,0.97,0.06,0.02,0.27,0.34,0.2,0.77,0.02,1,0.41,0.45,0.09,0.69,0.75,0.17,0.74,0.47,0.46,0.44,0.32,0.35,0.36,1,0.62,0,0.08,0.17,0.28,0.42,0.07,0.49,0.26,0.55,0.54,0.38,0.38,0.37,0.39,0.4,0.72,0.77,0.71,0.69,0.53,0.54,0,0.11,0,0.07,0.91,0.04,0.15,0.13,0.33,0.47,0.05,0.75,0.03,0.4,0.5,0.01,0.94,0.64,0.26,0.29,0.21,0.09,0.06,0.25,0.26,0.26,0.45,0.43,0.49,0.4,0.52,0.39,0.74,0,0,0.1,0.58,0.86,0.01,0.46,0.66,0.13
ForestParkcity,0.01,0.54,0.85,0.3,0.08,0.01,0.52,0.57,0.37,0.17,0.03,1,0.42,0.82,0.21,0.46,0.26,0.19,0.38,0.39,0.34,0.37,0.36,0,0.22,0.02,0.4,0.01,0.13,0.12,0.24,0.38,0.3,0.71,0.48,0.38,0.49,0.42,0.42,0.55,0.51,0.6,0.64,0.63,0.83,0.59,0.82,0.85,0.01,0.31,0,0.05,0.93,0.06,0.33,0.33,0.59,0.71,0.37,0.66,0.06,0.27,0.5,0.02,0.81,0.59,0.02,0.76,0.63,0.05,0.11,0.14,0.12,0.1,0.46,0.42,0.44,0.44,0.37,0.32,0.11,0,0,0.06,0.64,0.61,0.02,0.25,0.21,0.13
Hinesvillecity,0.02,0.56,0.69,0.35,0.2,0.13,0.53,0.8,0.52,0.04,0,0,0.21,0.86,0.06,0.21,0.08,0.41,0.3,0.17,0.16,0.21,0.2,0.12,0.17,0.21,0.26,0.03,0.46,0.11,0.19,0.3,0.49,0.68,0.15,0.39,0.42,0.37,0.2,0.54,0.48,0.55,0.61,0.62,0.56,0.57,0.4,0.39,0.01,0.41,0.01,0.17,0.81,0.07,0.22,0.24,0.62,0.65,0.6,0.29,0.28,0.43,0.5,0.03,0.74,0.3,0.16,0.4,0.88,0.22,0.2,0.13,0.11,0.1,0.23,0.28,0.31,0.3,0.51,0.7,0.53,0,0,0.16,0.22,0.05,0.03,0.15,0.02,0.13
GrandTerracecity,0,0.54,0.07,0.7,0.36,0.34,0.39,0.45,0.27,0.28,0.02,1,0.55,0.76,0.39,0.49,0.28,0.3,0.5,0.52,0.47,0.46,0.56,0.56,0.41,0.5,0.54,0,0.08,0.09,0.19,0.43,0.23,0.68,0.19,0.69,0.65,0.5,0.33,0.53,0.53,0.54,0.72,0.72,0.83,0.76,0.44,0.5,0,0.23,0.01,0.14,0.74,0.05,0.3,0.31,0.58,0.6,0.49,0.68,0.21,0.34,0.5,0.01,0.82,0.66,0.04,0.19,0.73,0.1,0.11,0.34,0.33,0.32,0.58,0.59,0.66,0.55,0.4,0.52,0,0,0,0.28,0.53,0.42,0.01,0.26,0.04,0.13
Westboroughtown,0.01,0.42,0.03,0.92,0.18,0.03,0.32,0.44,0.25,0.39,0.02,0.79,0.53,0.71,0.14,0.64,0.38,0.1,0.42,0.6,0.54,0.53,0.55,0.39,0.4,0.37,0.53,0,0.08,0.13,0.14,0.65,0.24,0.64,0.55,0.41,0.71,0.39,0.46,0.36,0.38,0.47,0.86,0.85,0.9,0.74,0.47,0.64,0,0.08,0.01,0.12,0.83,0.1,0.15,0.14,0.4,0.55,0.19,0.63,0.05,0.5,0.5,0.02,0.75,0.54,0.02,0.33,0.6,0.02,0.11,0.51,0.51,0.52,0.65,0.69,0.83,0.67,0.47,0.54,0.56,0,0,0.22,0.65,0.58,0.06,0.06,0.04,0.13
Westminstercity,0.1,0.45,0.02,0.86,0.23,0.21,0.39,0.53,0.29,0.11,0.12,1,0.41,0.86,0.26,0.5,0.16,0.14,0.23,0.41,0.35,0.35,0.39,0.19,0.33,0.33,0.39,0.04,0.16,0.1,0.18,0.38,0.22,0.83,0.37,0.3,0.45,0.6,0.35,0.65,0.65,0.52,0.69,0.71,0.77,0.58,0.67,0.74,0.02,0.14,0.02,0.13,0.85,0.11,0.2,0.19,0.5,0.58,0.36,0.63,0.12,0.44,0.5,0.11,0.73,0.58,0.03,0.31,0.81,0.1,0.07,0.2,0.18,0.16,0.37,0.36,0.41,0.35,0.37,0.57,0.24,0.01,0,0.12,0.46,0.4,0.08,0.23,0.19,0.13
Leicestertown,0,0.59,0.02,0.97,0.04,0.02,0.56,0.54,0.43,0.35,0.01,0.53,0.47,0.65,0.55,0.47,0.5,0.21,0.42,0.48,0.37,0.35,0.2,0,0.12,0.43,0.37,0,0.09,0.22,0.36,0.29,0.33,0.63,0.4,0.51,0.44,0.31,0.47,0.32,0.33,0.58,0.79,0.8,0.9,0.68,0.51,0.74,0,0.09,0,0.15,0.92,0.04,0.24,0.24,0.58,0.66,0.29,0.78,0.06,0.37,0.5,0.01,0.83,0.71,0.27,0.84,0.38,0,0,0.31,0.29,0.28,0.32,0.42,0.48,0.41,0.35,0.48,0.33,0,0,0.08,0.88,0.75,0.07,0.04,0.06,0.13
Pembroketown,0.01,0.68,0.01,0.99,0.02,0.01,0.44,0.46,0.29,0.21,0.01,0.43,0.58,0.78,0.21,0.5,0.36,0.24,0.41,0.55,0.39,0.37,0.49,0.76,0.34,0.35,0.29,0,0.09,0.08,0.2,0.34,0.46,0.71,0.25,0.38,0.41,0.25,0.39,0.3,0.29,0.72,0.87,0.88,0.94,0.69,0.57,0.58,0,0.06,0,0.01,0.94,0.01,0.35,0.37,0.73,0.76,0.26,0.94,0.05,0.23,0.5,0.01,0.84,0.9,0.28,0.62,0.58,0.04,0.01,0.42,0.4,0.39,0.1,0.39,0.64,0.37,0.49,0.63,0.49,0,0,0.07,0.91,0.81,0.06,0.05,0.1,0.13
OceanSpringscity,0.01,0.44,0.12,0.87,0.15,0.03,0.45,0.43,0.25,0.33,0.02,1,0.32,0.57,0.26,0.44,0.42,0.21,0.76,0.34,0.3,0.3,0.29,0.06,0.1,0.13,0.44,0.01,0.26,0.17,0.27,0.41,0.43,0.49,0.45,0.48,0.46,0.52,0.27,0.52,0.54,0.51,0.69,0.68,0.78,0.52,0.56,0.59,0,0.06,0,0.01,0.91,0.07,0.21,0.21,0.47,0.53,0.37,0.64,0.1,0.31,0.5,0.02,0.71,0.6,0.14,0.32,0.69,0.22,0.25,0.11,0.11,0.12,0.23,0.24,0.25,0.24,0.28,0.32,0.36,0,0,0.1,0.43,0.53,0.02,0.13,0,0.13
SouthHoustoncity,0.01,0.78,0.05,0.48,0.06,1,0.56,0.6,0.38,0.17,0.02,1,0.2,0.68,0.24,0.16,0.34,0.43,0.23,0.17,0.11,0.14,0.07,0.24,0.15,0.19,0.23,0.03,0.57,0.98,0.93,0.04,0.54,0.47,0.3,0.07,0.07,0.56,0.42,0.64,0.62,0.91,0.63,0.61,0.62,0.63,0.17,0.08,0.01,0.17,0.02,0.38,0.02,0.95,0.84,0.83,0.85,0.78,0.91,0.42,1,0.67,0,0.03,0.56,0.47,0.34,0.76,0.56,0.88,0.26,0.05,0.04,0.03,0.2,0.2,0.21,0.17,0.34,0.42,0.43,0,0,0.67,0.62,0.47,0.01,0.39,0.07,0.13
ThousandOakscity,0.15,0.55,0.02,0.86,0.29,0.18,0.45,0.46,0.32,0.27,0.17,1,0.74,0.72,0.27,0.65,0.28,0.15,0.39,0.72,0.64,0.63,0.79,0.34,0.5,0.4,0.48,0.04,0.1,0.11,0.15,0.57,0.2,0.69,0.39,0.39,0.65,0.4,0.42,0.49,0.46,0.52,0.79,0.8,0.86,0.76,0.41,0.45,0.02,0.12,0.09,0.35,0.75,0.19,0.26,0.27,0.58,0.57,0.55,0.7,0.17,0.3,0.5,0.07,0.89,0.7,0,0.23,0.73,0.04,0.07,0.79,0.81,0.83,0.88,0.87,1,0.87,0.68,0.81,0.31,0,0,0.4,0.4,0.44,0.14,0.18,0.02,0.13
SouthPasadenacity,0.02,0.28,0.06,0.54,1,0.25,0.31,0.48,0.27,0.37,0.04,1,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.28,0.52,0.48,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.19,0.77,0.91,0.49,0.57,0.61,0.58,0.44,0.62,0.69,0.87,0.53,0.3,0.43,0,0.11,0.04,0.5,0.45,0.28,0.25,0.19,0.29,0.53,0.18,0.39,0.26,0.73,0,0.02,0.84,0.3,0.16,0.28,0.25,0.02,0.05,0.94,1,1,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0,0,0.7,0.42,0.49,0.01,0.58,0.1,0.14
ManhattanBeachcity,0.04,0.25,0.01,0.91,0.27,0.09,0.15,0.42,0.19,0.26,0.05,1,0.92,0.71,0.31,0.76,0.21,0.09,0.33,0.96,1,1,0.6,0.34,0.86,0.7,0.98,0.01,0.09,0.02,0.04,0.93,0.08,0.78,0.46,0.44,0.98,0.56,0.63,0.54,0.56,0.28,0.8,0.82,0.89,0.73,0.51,0.53,0,0.06,0.02,0.18,0.85,0.05,0.07,0.06,0.28,0.37,0.19,0.6,0.06,0.53,0.5,0.04,0.83,0.55,0.1,0.25,0.35,0.02,0.1,1,1,1,0.99,1,1,1,0.28,0.66,0.14,0,0,0.24,0.44,0.56,0.01,0.68,0.05,0.14
Meridentown,0.08,0.39,0.08,0.85,0.04,0.25,0.33,0.48,0.27,0.47,0.09,1,0.41,0.57,0.12,0.54,0.52,0.3,0.57,0.41,0.36,0.37,0.3,0.25,0.18,0.24,0.3,0.04,0.18,0.37,0.47,0.24,0.3,0.58,0.57,0.39,0.33,0.49,0.46,0.53,0.53,0.44,0.56,0.57,0.61,0.53,0.62,0.63,0.03,0.27,0.02,0.09,0.66,0.22,0.18,0.16,0.41,0.45,0.37,0.54,0.11,0.58,0,0.08,0.75,0.52,0.13,0.39,0.38,0.24,0.34,0.4,0.36,0.33,0.32,0.4,0.46,0.42,0.51,0.61,0.53,0.02,0.01,0.18,0.68,0.62,0.07,0.21,0.04,0.14
LomaLindacity,0.01,0.56,0.12,0.45,1,0.25,0.31,0.58,0.35,0.4,0.03,1,0.36,0.63,0.47,0.44,0.36,0.57,0.42,0.35,0.35,0.37,0.39,0.18,0.34,0.31,0.32,0.02,0.3,0.26,0.27,0.69,0.26,0.45,0.12,1,0.75,0.38,0.48,0.52,0.48,0.51,0.61,0.56,0.76,0.57,0.43,0.4,0,0.16,0.03,0.76,0.43,0.39,0.32,0.28,0.46,0.49,0.47,0.32,0.36,0.68,0,0.02,0.69,0.32,0.05,0.12,0.75,0.23,0.35,0.34,0.38,0.4,0.42,0.42,0.48,0.42,0.45,0.6,0.36,0.02,0.05,0.87,0.32,0.14,0.02,0.21,0.07,0.14
OakRidgecity,0.03,0.27,0.16,0.84,0.13,0.02,0.33,0.32,0.19,0.65,0,0,0.35,0.44,0.16,0.65,0.58,0.29,0.83,0.42,0.43,0.41,0.29,1,0.55,0.37,0.45,0.02,0.24,0.2,0.23,0.57,0.28,0.42,0.45,0.69,0.7,0.51,0.24,0.57,0.57,0.3,0.6,0.62,0.57,0.62,0.51,0.58,0.01,0.11,0.01,0.18,0.92,0.06,0.08,0.08,0.29,0.33,0.24,0.63,0.06,0.47,0.5,0.05,0.71,0.6,0.06,0.37,0.31,0.22,0.07,0.11,0.11,0.14,0.18,0.23,0.26,0.23,0.33,0.11,0.18,0,0,0.1,0.44,0.63,0.25,0.03,0,0.14
LaMarquecity,0.01,0.45,0.61,0.45,0.03,0.19,0.41,0.4,0.24,0.48,0.02,1,0.27,0.49,0.18,0.35,0.56,0.34,0.56,0.27,0.25,0.3,0.23,0.09,0.49,0.34,0.36,0.02,0.4,0.33,0.46,0.18,0.66,0.38,0.37,0.53,0.33,0.65,0.25,0.63,0.67,0.48,0.48,0.46,0.65,0.48,0.5,0.59,0.01,0.23,0,0.05,0.85,0.07,0.27,0.27,0.5,0.43,0.61,0.65,0.21,0.48,0.5,0.03,0.53,0.69,0.51,0.8,0.42,0.52,0.47,0.07,0.06,0.06,0.21,0.23,0.24,0.26,0.47,0.26,0.42,0,0,0.08,0.77,0.68,0.04,0.08,0,0.14
Uvaldecity,0.01,0.7,0.01,0.35,0.02,1,0.61,0.56,0.39,0.39,0,0,0.09,0.48,0.88,0.24,0.56,0.75,0.36,0.09,0.1,0.14,1,0,0.1,0.15,0.21,0.04,0.9,1,0.87,0.18,0.95,0.23,0.14,0.5,0.32,0.41,0.35,0.48,0.47,0.83,0.62,0.56,0.69,0.61,0.38,0.21,0,0.12,0.01,0.21,0,0.83,0.73,0.71,0.75,0.68,0.81,0.54,0.63,0.55,0,0.03,0.54,0.58,0.61,0.76,0.52,1,1,0.03,0.03,0.05,0.06,0.11,0.13,0.09,0.46,0.33,0.35,0,0,0.37,0.8,0.68,0.01,0.22,0.02,0.14
Sebastiancity,0,0.34,0.02,0.97,0.06,0.03,0.22,0.24,0.11,0.92,0,0,0.25,0.2,0.14,0.45,0.89,0.16,1,0.23,0.24,0.22,0.11,0.23,0.41,0.47,0.35,0.01,0.17,0.24,0.46,0.14,0.34,0.21,0.16,0.3,0.29,0.41,0.08,0.35,0.38,0.22,0.74,0.71,0.8,0.71,0.54,0.55,0,0.14,0,0.02,0.91,0.03,0.09,0.11,0.38,0.3,0.66,0.75,0.08,0.58,0,0.02,0.58,0.81,0.02,0.3,0.94,0.19,0.11,0.15,0.13,0.12,0.45,0.4,0.4,0.45,0.46,0.51,0.19,0,0,0.16,0.16,0.21,0.03,0.07,0,0.14
Beloitcity,0.04,0.45,0.31,0.73,0.07,0.03,0.48,0.51,0.36,0.43,0.06,1,0.23,0.48,0.2,0.43,0.54,0.74,0.49,0.25,0.21,0.24,0.18,0.15,0.19,0.15,0.17,0.05,0.46,0.28,0.48,0.16,0.55,0.47,0.92,0.36,0.3,0.59,0.43,0.62,0.63,0.48,0.38,0.4,0.26,0.3,0.56,0.6,0.05,0.58,0.01,0.05,0.94,0.04,0.23,0.21,0.45,0.45,0.45,0.51,0.11,0.51,0.5,0.04,0.81,0.52,0.29,0.58,0.23,0.49,0.26,0.05,0.03,0.03,0.2,0.21,0.21,0.23,0.63,0.13,0.44,0.01,0,0.07,0.67,0.56,0.04,0.18,0.06,0.14
Ludlowtown,0.01,0.47,0,0.99,0.03,0.04,0.38,0.43,0.29,0.5,0.02,0.79,0.41,0.55,0.15,0.5,0.58,0.24,0.62,0.4,0.31,0.3,0.46,0.71,0.07,0.98,0.5,0.01,0.09,0.54,0.58,0.17,0.27,0.61,0.77,0.25,0.25,0.28,0.37,0.26,0.28,0.5,0.82,0.83,0.89,0.8,0.7,0.73,0,0.12,0.02,0.11,0.5,0.36,0.15,0.16,0.51,0.56,0.32,0.78,0.06,0.4,0.5,0.01,0.9,0.74,0.06,0.68,0.44,0.09,0.15,0.32,0.31,0.29,0.34,0.39,0.45,0.41,0.42,0.34,0.53,0,0,0.48,0.76,0.84,0.08,0.06,0.01,0.14
Moorecity,0.05,0.6,0.03,0.85,0.08,0.06,0.51,0.54,0.3,0.12,0.06,1,0.35,0.83,0.16,0.35,0.19,0.17,0.37,0.31,0.22,0.22,0.27,0.17,0.24,0.29,0.27,0.03,0.2,0.14,0.29,0.21,0.25,0.73,0.36,0.32,0.29,0.46,0.24,0.58,0.55,0.59,0.72,0.72,0.81,0.59,0.57,0.65,0.01,0.06,0.01,0.02,0.93,0.03,0.21,0.24,0.66,0.62,0.72,0.68,0.15,0.19,0.5,0.07,0.66,0.7,0.31,0.58,0.73,0.23,0.16,0.09,0.07,0.07,0.23,0.28,0.3,0.34,0.4,0.38,0.31,0,0,0.06,0.63,0.47,0.06,0.16,0.01,0.14
PalmBeachGardenscity,0.02,0.31,0.02,0.96,0.09,0.06,0.3,0.34,0.2,0.5,0.04,1,0.54,0.56,0.12,0.68,0.48,0.05,0.44,0.56,0.72,0.69,0.4,0.5,1,0.1,0.65,0.01,0.11,0.08,0.13,0.62,0.1,0.58,0.31,0.45,0.73,0.46,0.32,0.58,0.54,0.31,0.7,0.76,0.83,0.63,0.7,0.74,0,0.05,0.01,0.14,0.86,0.04,0.08,0.08,0.34,0.36,0.29,0.72,0.06,0.55,0,0.14,0.06,0.7,0.02,0.34,0.85,0.05,0.12,0.28,0.33,0.43,0.64,0.6,0.74,0.66,0.51,0.52,0.37,0,0,0.21,0.15,0.33,0.07,0.07,0.02,0.14
Ansoniatown,0.01,0.4,0.16,0.85,0.04,0.05,0.3,0.44,0.24,0.57,0.03,1,0.37,0.53,0.06,0.51,0.64,0.29,0.52,0.39,0.33,0.34,0.23,0.3,0.27,0.32,0.32,0.01,0.19,0.38,0.47,0.18,0.48,0.51,0.69,0.32,0.28,0.35,0.44,0.39,0.39,0.47,0.56,0.58,0.57,0.52,0.54,0.65,0.02,0.42,0.01,0.08,0.74,0.09,0.16,0.16,0.44,0.49,0.4,0.5,0.07,0.55,0,0.02,0.84,0.48,0.24,0.56,0.19,0.18,0.65,0.41,0.38,0.34,0.31,0.38,0.45,0.43,0.33,0.55,0.79,0,0,0.22,0.79,0.76,0.01,0.25,0.08,0.14
Waynesborocity,0.01,0.33,0.18,0.85,0.01,0.01,0.36,0.41,0.27,0.57,0,0,0.25,0.47,0.56,0.46,0.58,0.25,0.72,0.27,0.28,0.29,0.23,0.16,0.21,0.19,0.45,0.02,0.29,0.48,0.5,0.28,0.27,0.42,0.8,0.33,0.36,0.58,0.31,0.63,0.63,0.32,0.54,0.5,0.47,0.54,0.54,0.56,0.01,0.2,0,0.03,0.96,0.02,0.11,0.12,0.34,0.34,0.37,0.54,0.08,0.47,0.5,0.02,0.85,0.54,0.21,0.29,0.44,0.48,0.39,0.12,0.12,0.14,0.19,0.21,0.23,0.22,0.26,0.27,0.36,0,0,0.06,0.71,0.6,0.04,0.11,0,0.14
